,index,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,adult_femail
0,0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,False
1,1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,False
2,2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,False
3,3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,False
4,4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
5,6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,False
6,7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False
7,8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,False
8,9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,False
9,10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,False
10,11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,False
11,12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
12,13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,False
13,14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,False
14,15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,False
15,16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,False
16,18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,False
17,20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False
18,21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,False
19,22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,False
20,23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,False
21,24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False
22,25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,False
23,27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,False
24,30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,False
25,33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
26,34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,False
27,35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,False
28,37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
29,38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,False
30,39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False
31,40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,False
32,41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,False
33,43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,False
34,44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,False
35,49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,False
36,50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,False
37,51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,False
38,52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,False
39,53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
40,54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,False
41,56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False
42,57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False
43,58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,False
44,59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False
